-- ----------------------------------------------------------------------------------|----|-- ----------------------------------------------------------------------------------|----|-- ----------------------------------------------------------------------------------

-- Textos extraidos do arquivo PLAN_BTL_DT |----|-- Textos extraidos do arquivo PLAN_BTL_DT |----|-- Textos extraidos do arquivo PLAN_BTL_DT 

-- Linhas iniciando com -- e linhas em branco sao ignoradas |----|-- Linhas iniciando com -- e linhas em branco sao ignoradas |----|-- Linhas iniciando com -- e linhas em branco sao ignoradas 

-- Formato das linhas: posicao do texto na lista de textos, texto e traducao |----|-- Formato das linhas: posicao do texto na lista de textos, texto e traducao |----|-- Formato das linhas: posicao do texto na lista de textos, texto e traducao 

-- O campos de cada linha sao separados por <=>) |----|-- O campos de cada linha sao separados por <=>) |----|-- O campos de cada linha sao separados por <=>) 

-- IMPORTANTE: edite esse arquivo com o Notepad++, pois ele esta no formato UTF-8 |----|-- IMPORTANTE: edite esse arquivo com o Notepad++, pois ele esta no formato UTF-8 |----|-- IMPORTANTE: edite esse arquivo com o Notepad++, pois ele esta no formato UTF-8 

Tiger's Den|----|Coração de Tigre|----|Corazón de tigre

Tiger's Den II|----|Coração de Tigre II|----|Corazón de tigre (II)

Tiger's Den III|----|Coração de Tigre III|----|Corazón de tigre (III)

Lion's Den|----|Coração de Leão|----|Corazón de león

Lion's Den II|----|Coração de Leão II|----|Corazón de león (II)

Lion's Den III|----|Coração de Leão III|----|Corazón de león (III)

Orb|----|Orbe|----|Orbe

Orb II|----|Orbe II|----|Orbe (II)

Orb III|----|Orbe III|----|Orbe (III)

Box|----|Caixa|----|Cuadro

Box II|----|Caixa II|----|Cuadro (II)

Box III|----|Caixa III|----|Cuadro (III)

Cage|----|Jaula|----|Jaula

Cage II|----|Jaula II|----|Jaula (II)

Cage III|----|Jaula III|----|Jaula (III)

Crossbow|----|Besta|----|Ballesta

Crossbow II|----|Besta II|----|Ballesta (II)

Crossbow III|----|Besta III|----|Ballesta (III)

Warhorse|----|Cavalo de Guerra|----|Corcel

Warhorse II|----|Cavalo de Guerra II|----|Corcel (II)

Warhorse III|----|Cavalo de Guerra III|----|Corcel (III)

Destrier|----|Purosangue|----|Purasangre

Destrier II|----|Purosangue II|----|Purasangre (II)

Destrier III|----|Purosangue III|----|Purasangre (III)

Prism|----|Prisma|----|Prisma

Prism II|----|Prisma II|----|Prisma (II)

Prism III|----|Prisma III|----|Prisma (III)

Obelisk|----|Obelisco|----|Obelisco

Obelisk II|----|Obelisco II|----|Obelisco (II)

Obelisk III|----|Obelisco III|----|Obelisco (III)

Pyramid|----|Pirâmide|----|Pirámide

Pyramid II|----|Pirâmide II|----|Pirámide (II)

Pyramid III|----|Pirâmide III|----|Pirámide (III)

Flame|----|Chama|----|Hoguera

Flame II|----|Chama II|----|Hoguera (II)

Flame III|----|Chama III|----|Hoguera (III)

Candle|----|Vela|----|Vela

Candle II|----|Vela II|----|Vela (II)

Candle III|----|Vela III|----|Vela (III)

Comet|----|Cometa|----|Cometa

Comet II|----|Cometa II|----|Cometa (II)

Comet III|----|Cometa III|----|Cometa (III)

Horns of Undelwalt|----|Trompas de Undelwalt|----|Asta de Undelwalt

Horns of Undelwalt II|----|Trompas de Undelwalt II|----|Asta de Undelwalt (II)

Horns of Undelwalt III|----|Trompas de Undelwalt III|----|Asta de Undelwalt (III)

Hawk-eye|----|Olho de Águia|----|Ojo de halcón

Hawk-eye II|----|Olho de Águia II|----|Ojo de halcón (II)

Hawk-eye III|----|Olho de Águia III|----|Ojo de halcón (III)

Bullseye|----|Olho de Búfalo|----|Ojo de águila

Bullseye II|----|Olho de Búfalo II|----|Ojo de águila (II)

Bullseye III|----|Olho de Búfalo III|----|Ojo de águila (III)

Picket Fence|----|Cerca de Estacas|----|Valla de estacas

Picket Fence II|----|Cerca de Estacas II|----|Valla de estacas (II)

Picket Fence III|----|Cerca de Estacas III|----|Valla de estacas (III)

Barbed Wall|----|Muro de Espinhos|----|Muro de espinos

Barbed Wall II|----|Muro de Espinhos II|----|Muro de espinos (II)

Barbed Wall III|----|Muro de Espinhos III|----|Muro de espinos (III)

Terrapin|----|Cágado|----|Galápago

Terrapin II|----|Cágado II|----|Galápago (II)

Terrapin III|----|Cágado III|----|Galápago (III)

Turtle|----|Tartaruga|----|Tortuga

Turtle II|----|Tartaruga II|----|Tortuga (II)

Turtle III|----|Tartaruga III|----|Tortuga (III)

Tortoise|----|Jabuti|----|Carey

Tortoise II|----|Jabuti II|----|Carey (II)

Tortoise III|----|Jabuti III|----|Carey (III)

Blizzard|----|Nevasca|----|Tempestad

Blizzard II|----|Nevasca II|----|Tempestad (II)

Blizzard III|----|Nevasca III|----|Tempestad (III)

Slingshot|----|Estilingue|----|Todos para uno

Slingshot II|----|Estilingue II|----|Todos para uno (II)

Slingshot III|----|Estilingue III|----|Todos para uno (III)

Anchor of Celapaleis|----|Âncora de Celapaleis|----|Ancla de Celapalais

Anchor of Celapaleis II|----|Âncora de Celapaleis II|----|Ancla de Celapalais (II)

Anchor of Celapaleis III|----|Âncora de Celapaleis III|----|Ancla de Celapalais (III)

Vampire|----|Vampiro|----|Vampiro

Vampire II|----|Vampiro II|----|Vampiro (II)

Vampire III|----|Vampiro III|----|Vampiro (III)

Mystic Shield|----|Escudo Místico|----|Escudo místico

Mystic Shield II|----|Escudo Místico II|----|Escudo místico (II)

Mystic Shield III|----|Escudo Místico III|----|Escudo místico (III)

Spell Wall|----|Muralha Mística|----|Muralla mística

Spell Wall II|----|Muralha Mística II|----|Muralla mística (II)

Spell Wall III|----|Muralha Mística III|----|Muralla mística (III)

Force Field|----|Campo de Força|----|Campo de fuerza

Force Field II|----|Campo de Força II|----|Campo de fuerza (II)

Force Field III|----|Campo de Força III|----|Campo de fuerza (III)

Glove|----|Luva|----|Guantelete

Glove II|----|Luva II|----|Guantelete (II)

Glove III|----|Luva III|----|Guantelete (III)

Gauntlet|----|Manopla|----|Puño de hierro

Gauntlet II|----|Manopla II|----|Puño de hierro (II)

Gauntlet III|----|Manopla III|----|Puño de hierro (III)

Drawbridge|----|Ponte Levadiça|----|Puente levadizo

Drawbridge II|----|Ponte Levadiça II|----|Puente levadizo (II)

Drawbridge III|----|Ponte Levadiça III|----|Puente levadizo (III)

Pendant|----|Pingente|----|Colgante

Pendant II|----|Pingente II|----|Colgante (II)

Pendant III|----|Pingente III|----|Colgante (III)

Mystic Henge|----|Círculo Místico|----|Círculo místico

Mystic Henge II|----|Círculo Místico II|----|Círculo místico (II)

Mystic Henge III|----|Círculo Místico III|----|Círculo místico (III)

Rune Ring|----|Anel Rúnico|----|Anillo rúnico

Rune Ring II|----|Anel Rúnico II|----|Anillo rúnico (II)

Rune Ring III|----|Anel Rúnico III|----|Anillo rúnico (III)

Pendulum|----|Pêndulo|----|Péndulo

Pendulum II|----|Pêndulo II|----|Péndulo (II)

Pendulum III|----|Pêndulo III|----|Péndulo (III)

Mast of Nagapur|----|Estandarte de Nagapur|----|Estandarte de Nagapur

Mast of Nagapur II|----|Estandarte de Nagapur II|----|Estandarte de Nagapur (II)

Mast of Nagapur III|----|Estandarte de Nagapur III|----|Estandarte de Nagapur (III)

Belt|----|Cinturão|----|Cinto

Belt II|----|Cinturão II|----|Cinto (II)

Belt III|----|Cinturão III|----|Cinto (III)

Unicorn|----|Unicórnio|----|Unicornio

Unicorn II|----|Unicórnio II|----|Unicornio (II)

Unicorn III|----|Unicórnio III|----|Unicornio (III)

Pegasus|----|Pégasus|----|Pegaso

Pegasus II|----|Pégasus II|----|Pegaso (II)

Pegasus III|----|Pégasus III|----|Pegaso (III)

Whip|----|Chicote|----|Látigo

Whip II|----|Chicote II|----|Látigo (II)

Whip III|----|Chicote III|----|Látigo (III)

Lash|----|Golpe de Chicote|----|Fusta

Lash II|----|Golpe de Chicote II|----|Fusta (II)

Lash III|----|Golpe de Chicote III|----|Fusta (III)

Flail|----|Flagelo|----|Flagelo

Flail II|----|Flagelo II|----|Flagelo (II)

Flail III|----|Flagelo III|----|Flagelo (III)

Bait and Hook|----|Isca e Anzol|----|Cebo

Bait and Hook II|----|Isca e Anzol II|----|Cebo (II)

Bait and Hook III|----|Isca e Anzol III|----|Cebo (III)

Lure and Trap|----|Atrair e Prender|----|Reclamo

Lure and Trap II|----|Atrair e Prender II|----|Reclamo (II)

Lure and Trap III|----|Atrair e Prender III|----|Reclamo (III)

Juggernaut|----|Rolo Compressor|----|Apisonadora

Juggernaut II|----|Rolo Compressor II|----|Apisonadora (II)

Juggernaut III|----|Rolo Compressor III|----|Apisonadora (III)

Snakebite|----|Picada de Cobra|----|Víbora

Snakebite II|----|Picada de Cobra II|----|Víbora (II)

Snakebite III|----|Picada de Cobra III|----|Víbora (III)

Jewel of Undelwalt|----|Jóia de Undelwalt|----|Joya de Undelwalt

Jewel of Undelwalt II|----|Jóia de Undelwalt II|----|Joya de Undelwalt (II)

Jewel of Undelwalt III|----|Jóia de Undelwalt III|----|Joya de Undelwalt (III)

Church Bell|----|Sino da Igreja|----|Campana

Church Bell II|----|Sino da Igreja II|----|Campana (II)

Church Bell III|----|Sino da Igreja III|----|Campana (III)

Casket|----|Caixão|----|Cofre

Casket II|----|Caixão II|----|Cofre (II)

Casket III|----|Caixão III|----|Cofre (III)

Sickbed|----|Leito|----|Reposo

Sickbed II|----|Leito II|----|Reposo (II)

Sickbed III|----|Leito III|----|Reposo (III)

Basket|----|Cesto|----|Cesto

Basket II|----|Cesto II|----|Cesto (II)

Basket III|----|Cesto III|----|Cesto (III)

Satchel|----|Mochila|----|Mochila

Satchel II|----|Mochila II|----|Mochila (II)

Satchel III|----|Mochila III|----|Mochila (III)

Batwings|----|Asas de Morcego|----|Murciélago

Batwings II|----|Asas de Morcego II|----|Murciélago (II)

Batwings III|----|Asas de Morcego III|----|Murciélago (III)

Element Type dummy|----|Element Type dummy|----|Tipos de elemento

None|----|Nenhum|----|Ninguno

Slash|----|Corte|----|Corte

Mighty Slash|----|Corte Poderoso|----|Corte colosal

Godly Slash|----|Corte Divino|----|Corte titánico

Bludgeon|----|Contusão|----|Contusión

Mighty Bludgeon|----|Contusão Poderosa|----|Contusión colosal

Godly Bludgeon|----|Contusão Divina|----|Contusión titánica

Maul|----|Impacto|----|Impacto

Mighty Maul|----|Impacto Poderoso|----|Impacto colosal

Godly Maul|----|Impacto Divino|----|Impacto titánico

Pierce|----|Perfuração|----|Estocada

Mighty Pierce|----|Perfuração Poderosa|----|Estocada colosal

Godly Pierce|----|Perfuração Divina|----|Estocada titánica

Omni|----|Universal|----|Universal

(REPETIDO)Omni|----|Universal|----|Universal

(REPETIDO)Omni|----|Universal|----|Universal

Special Elements dummy|----|Special Elements dummy|----|Elementos especiales

(REPETIDO)None|----|Nenhum|----|Ninguno

HP + 1|----|PV + 1|----|PV +1

HP + 2|----|PV + 2|----|PV +2

HP + 3|----|PV + 3|----|PV +3

HP + 4|----|PV + 4|----|PV +4

HP + 5|----|PV + 5|----|PV +5

HP + 6|----|PV + 6|----|PV +6

HP + 7|----|PV + 7|----|PV +7

HP + 8|----|PV + 8|----|PV +8

HP + 9|----|PV + 9|----|PV +9

AP + 1|----|PA+ 1|----|PA +1

AP + 2|----|PA+ 2|----|PA +2

AP + 3|----|PA+ 3|----|PA +3

AP + 4|----|PA+ 4|----|PA +4

AP + 5|----|PA+ 5|----|PA +5

AP + 6|----|PA+ 6|----|PA +6

AP + 7|----|PA+ 7|----|PA +7

AP + 8|----|PA+ 8|----|PA +8

AP + 9|----|PA+ 9|----|PA +9

AP Charge + 1|----|Recarga PA + 1|----|Recarga PA +1

AP Charge + 2|----|Recarga PA + 2|----|Recarga PA +2

AP Charge + 3|----|Recarga PA + 3|----|Recarga PA +3

AP Charge + 4|----|Recarga PA + 4|----|Recarga PA +4

AP Charge + 5|----|Recarga PA + 5|----|Recarga PA +5

AP Charge + 6|----|Recarga PA + 6|----|Recarga PA +6

AP Charge + 7|----|Recarga PA + 7|----|Recarga PA +7

AP Charge + 8|----|Recarga PA + 8|----|Recarga PA +8

AP Charge + 9|----|Recarga PA + 9|----|Recarga PA +9

Strength + 1|----|Força + 1|----|Fuerza +1

Strength + 2|----|Força + 2|----|Fuerza +2

Strength + 3|----|Força + 3|----|Fuerza +3

Strength + 4|----|Força + 4|----|Fuerza +4

Strength + 5|----|Força + 5|----|Fuerza +5

Intellect + 1|----|Inteligência + 1|----|Inteligencia +1

Intellect + 2|----|Inteligência + 2|----|Inteligencia +2

Intellect + 3|----|Inteligência + 3|----|Inteligencia +3

Intellect + 4|----|Inteligência + 4|----|Inteligencia +4

Intellect + 5|----|Inteligência + 5|----|Inteligencia +5

Speed + 1|----|Velocidade + 1|----|Velocidad +1

Speed + 2|----|Velocidade + 2|----|Velocidad +2

Speed + 3|----|Velocidade + 3|----|Velocidad +3

Speed + 4|----|Velocidade + 4|----|Velocidad +4

Speed + 5|----|Velocidade + 5|----|Velocidad +5

Unique Stat + 1|----|Atributo Especial + 1|----|Atributo especial +1

Unique Stat + 2|----|Atributo Especial + 2|----|Atributo especial +2

Unique Stat + 3|----|Atributo Especial + 3|----|Atributo especial +3

Unique Stat + 4|----|Atributo Especial + 4|----|Atributo especial +4

Unique Stat + 5|----|Atributo Especial + 5|----|Atributo especial +5

Two-Handed OK|----|Utilize as duas mãos|----|Utilizable a dos manos

One-Handed OK|----|Utilize uma mão|----|Utilizable a una mano

[One-Handed] + 1|----|[Uma Mão] + 1|----|Una mano +1

[One-Handed] + 2|----|[Uma Mão] + 2|----|Una mano +2

[One-Handed] + 3|----|[Uma Mão] + 3|----|Una mano +3

[One-Handed] + 4|----|[Uma Mão] + 4|----|Una mano +4

[One-Handed] + 5|----|[Uma Mão] + 5|----|Una mano +5

[Power Grip] + 1|----|[Ambas as Mãos] + 1|----|Doble agarre +1

[Power Grip] + 2|----|[Ambas as Mãos] + 2|----|Doble agarre +2

[Power Grip] + 3|----|[Ambas as Mãos] + 3|----|Doble agarre +3

[Power Grip] + 4|----|[Ambas as Mãos] + 4|----|Doble agarre +4

[Power Grip] + 5|----|[Ambas as Mãos] + 5|----|Doble agarre +5

[Dual Wield] + 1|----|[Uma ou Duas Mãos] + 1|----|Estilo dual +1

[Dual Wield] + 2|----|[Uma ou Duas Mãos] + 2|----|Estilo dual +2

[Dual Wield] + 3|----|[Uma ou Duas Mãos] + 3|----|Estilo dual +3

[Dual Wield] + 4|----|[Uma ou Duas Mãos] + 4|----|Estilo dual +4

[Dual Wield] + 5|----|[Uma ou Duas Mãos] + 5|----|Estilo dual +5

[Two-Handed] + 1|----|[Duas Mãos] + 1|----|Dos manos +1

[Two-Handed] + 2|----|[Duas Mãos] + 2|----|Dos manos +2

[Two-Handed] + 3|----|[Duas Mãos] + 3|----|Dos manos +3

[Two-Handed] + 4|----|[Duas Mãos] + 4|----|Dos manos +4

[Two-Handed] + 5|----|[Duas Mãos] + 5|----|Dos manos +5

[Quad Wield] + 1|----|[Quatro mãos] + 1|----|Estilo cuádruple +1

[Quad Wield] + 2|----|[Quatro mãos] + 2|----|Estilo cuádruple +2

[Quad Wield] + 3|----|[Quatro mãos] + 3|----|Estilo cuádruple +3

[Quad Wield] + 4|----|[Quatro mãos] + 4|----|Estilo cuádruple +4

[Quad Wield] + 5|----|[Quatro mãos] + 5|----|Estilo cuádruple +5

[Dual Power Grip] + 1|----|[Ambas as Mãos Sovani] + 1|----|Doble agarre sovani +1

[Dual Power Grip] + 2|----|[Ambas as Mãos Sovani] + 2|----|Doble agarre sovani +2

[Dual Power Grip] + 3|----|[Ambas as Mãos Sovani] + 3|----|Doble agarre sovani +3

[Dual Power Grip] + 4|----|[Ambas as Mãos Sovani] + 4|----|Doble agarre sovani +4

[Dual Power Grip] + 5|----|[Ambas as Mãos Sovani] + 5|----|Doble agarre sovani +5

[Dual Two-Handed] + 1|----|[Duas Mãos Sovani] + 1|----|Dos manos sovani +1

[Dual Two-Handed] + 2|----|[Duas Mãos Sovani] + 2|----|Dos manos sovani +2

[Dual Two-Handed] + 3|----|[Duas Mãos Sovani] + 3|----|Dos manos sovani +3

[Dual Two-Handed] + 4|----|[Duas Mãos Sovani] + 4|----|Dos manos sovani +4

[Dual Two-Handed] + 5|----|[Duas Mãos Sovani] + 5|----|Dos manos sovani +5

[Sword] + 1|----|[Espada] + 1|----|Espadas +1

[Sword] + 2|----|[Espada] + 2|----|Espadas +2

[Sword] + 3|----|[Espada] + 3|----|Espadas +3

[Sword] + 4|----|[Espada] + 4|----|Espadas +4

[Sword] + 5|----|[Espada] + 5|----|Espadas +5

[Katana] + 1|----|[Katana] + 1|----|Katanas +1

[Katana] + 2|----|[Katana] + 2|----|Katanas +2

[Katana] + 3|----|[Katana] + 3|----|Katanas +3

[Katana] + 4|----|[Katana] + 4|----|Katanas +4

[Katana] + 5|----|[Katana] + 5|----|Katanas +5

[Axe] + 1|----|[Machado] + 1|----|Hachas +1

[Axe] + 2|----|[Machado] + 2|----|Hachas +2

[Axe] + 3|----|[Machado] + 3|----|Hachas +3

[Axe] + 4|----|[Machado] + 4|----|Hachas +4

[Axe] + 5|----|[Machado] + 5|----|Hachas +5

[Hammer] + 1|----|[Martelo] + 1|----|Martillos +1

[Hammer] + 2|----|[Martelo] + 2|----|Martillos +2

[Hammer] + 3|----|[Martelo] + 3|----|Martillos +3

[Hammer] + 4|----|[Martelo] + 4|----|Martillos +4

[Hammer] + 5|----|[Martelo] + 5|----|Martillos +5

[Spear] + 1|----|[Lança] + 1|----|Lanzas +1

[Spear] + 2|----|[Lança] + 2|----|Lanzas +2

[Spear] + 3|----|[Lança] + 3|----|Lanzas +3

[Spear] + 4|----|[Lança] + 4|----|Lanzas +4

[Spear] + 5|----|[Lança] + 5|----|Lanzas +5

[Staff] + 1|----|[Cajado] + 1|----|Bastones +1

[Staff] + 2|----|[Cajado] + 2|----|Bastones +2

[Staff] + 3|----|[Cajado] + 3|----|Bastones +3

[Staff] + 4|----|[Cajado] + 4|----|Bastones +4

[Staff] + 5|----|[Cajado] + 5|----|Bastones +5

[Weapon] + 1|----|[Ataque com Armas] + 1|----|Ataques con armas +1

[Weapon] + 2|----|[Ataque com Armas] + 2|----|Ataques con armas +2

[Weapon] + 3|----|[Ataque com Armas] + 3|----|Ataques con armas +3

[Weapon] + 4|----|[Ataque com Armas] + 4|----|Ataques con armas +4

[Weapon] + 5|----|[Ataque com Armas] + 5|----|Ataques con armas +5

[Physical] Extra Hit + 1|----|[Ataque Físico] Golpe Extra + 1|----|Ataques físicos extra +1

[Physical] Extra Hit + 2|----|[Ataque Físico] Golpe Extra + 2|----|Ataques físicos extra +2

[Physical] Extra Hit + 3|----|[Ataque Físico] Golpe Extra + 3|----|Ataques físicos extra +3

[Physical] Extra Hit + 4|----|[Ataque Físico] Golpe Extra + 4|----|Ataques físicos extra +4

[Physical] Extra Hit + 5|----|[Ataque Físico] Golpe Extra + 5|----|Ataques físicos extra +5

[Mystic] Extra Hit + 1|----|[Ataque Místico] Golpe Extra + 1|----|Ataques místicos extra +1

[Mystic] Extra Hit + 2|----|[Ataque Místico] Golpe Extra + 2|----|Ataques místicos extra +2

[Mystic] Extra Hit + 3|----|[Ataque Místico] Golpe Extra + 3|----|Ataques místicos extra +3

[Mystic] Extra Hit + 4|----|[Ataque Místico] Golpe Extra + 4|----|Ataques místicos extra +4

[Mystic] Extra Hit + 5|----|[Ataque Místico] Golpe Extra + 5|----|Ataques místicos extra +5

[Physical] Resist + 1|----|[Ataque Físico] Resistência + 1|----|Resistencia física +1

[Physical] Resist + 2|----|[Ataque Físico] Resistência + 2|----|Resistencia física +2

[Physical] Resist + 3|----|[Ataque Físico] Resistência + 3|----|Resistencia física +3

[Physical] Resist + 4|----|[Ataque Físico] Resistência + 4|----|Resistencia física +4

[Physical] Resist + 5|----|[Ataque Físico] Resistência + 5|----|Resistencia física +5

[Mystic] Resist + 1|----|[Ataque Místico] Resistência + 1|----|Resistencia mística +1

[Mystic] Resist + 2|----|[Ataque Místico] Resistência + 2|----|Resistencia mística +2

[Mystic] Resist + 3|----|[Ataque Místico] Resistência + 3|----|Resistencia mística +3

[Mystic] Resist + 4|----|[Ataque Místico] Resistência + 4|----|Resistencia mística +4

[Mystic] Resist + 5|----|[Ataque Místico] Resistência + 5|----|Resistencia mística +5

[Physical] Evasion + 1|----|[Ataque Físico] Evasão + 1|----|Evasión física +1

[Physical] Evasion + 2|----|[Ataque Físico] Evasão + 2|----|Evasión física +2
